topic; item; concept; prompt; concept_summary
demographics; age; age; NA; Age
demographics; city_or_rural; city_or_rural; NA; City vs. rural
demographics; country_code; country_code; NA; Country
demographics; education; education_level; NA; Education
demographics; gender; gender; NA; Gender
system; UUID; UUID; NA; UUIS
system; weight; Weight; NA; Weight
terms_familiarity; ai; Artificial Intelligence; Which of the following terms are you familiar with (i.e., know more or less what they mean)?; NA
terms_familiarity; algorithms; Computer algorithms; Which of the following terms are you familiar with (i.e., know more or less what they mean)?; NA
terms_familiarity; ml; Machine learning; Which of the following terms are you familiar with (i.e., know more or less what they mean)?; NA
terms_familiarity; RecSys; Recommender systems; Which of the following terms are you familiar with (i.e., know more or less what they mean)?; NA
terms_familiarity; targeted; Targeted/personalised advertising; Which of the following terms are you familiar with (i.e., know more or less what they mean)?; NA
terms_familiarity; terms_familiarity_none; None of the above; Which of the following terms are you familiar with (i.e., know more or less what they mean)?; NA
used_applications; Facebook; Facebook; Which of the following applications have you used within the past year?; NA
used_applications; Twitter; Twitter; Which of the following applications have you used within the past year?; NA
used_applications; Instagram; Instagram; Which of the following applications have you used within the past year?; NA
used_applications; Google; Google account; Which of the following applications have you used within the past year?; NA
used_applications; Amazon; Amazon; Which of the following applications have you used within the past year?; NA
used_applications; eBay; eBay; Which of the following applications have you used within the past year?; NA
used_applications; used_applications_none; None of the above; Which of the following applications have you used within the past year?; NA
ai_is_used; ads_social_media; Advertisement on social media; In which of the following situations do you think AI technologies are commonly used?; NA
ai_is_used; feed; Curation of news feeds on social media; In which of the following situations do you think AI technologies are commonly used?; NA
ai_is_used; webshops; Recommendations in webshops; In which of the following situations do you think AI technologies are commonly used?; NA
ai_is_used; video; Recommendations on video streaming sites; In which of the following situations do you think AI technologies are commonly used?; NA
ai_is_used; search; Ranking of results on search engines; In which of the following situations do you think AI technologies are commonly used?; NA
ai_is_used; assistants; Answers of smart assistants (e.g., Siri, Alexa, ...); In which of the following situations do you think AI technologies are commonly used?; NA
ai_is_used; dating; Suggestions for potential partners on dating platforms; In which of the following situations do you think AI technologies are commonly used?; NA
ai_is_used; wikipedia; Content of Wikipedia articles; In which of the following situations do you think AI technologies are commonly used?; NA
ai_is_used; restaurants; Website of a local restaurant; In which of the following situations do you think AI technologies are commonly used?; NA
ai_is_used; ai_is_used_none; None of the above; In which of the following situations do you think AI technologies are commonly used?; NA
criteria_social_media; time; Time of posting; What do you think are the main criteria that are used to customize what posts you see?; NA
criteria_social_media; likes; Number of likes the post received so far; What do you think are the main criteria that are used to customize what posts you see?; NA
criteria_social_media; friends; Number of common friends that you share with post's author; What do you think are the main criteria that are used to customize what posts you see?; NA
criteria_social_media; previous_interest; Topics and content that you have previously shown an interest in; What do you think are the main criteria that are used to customize what posts you see?; NA
criteria_social_media; increase_likes; Recent increase in likes of the post; What do you think are the main criteria that are used to customize what posts you see?; NA
criteria_social_media; clicks; Number of clicks on the post; What do you think are the main criteria that are used to customize what posts you see?; NA
criteria_social_media; proximity; Geographic proximity between you and the post's author; What do you think are the main criteria that are used to customize what posts you see?; NA
criteria_social_media; interact; The way you scroll and type; What do you think are the main criteria that are used to customize what posts you see?; NA
acceptability_service; commercials; … show you personalised advertising of commercial products and services?; NA; Commercial advertising
acceptability_service; political_campaigns; … show you personalised messages from political campaigns?; NA; Political campaign messages
acceptability_service; personalised_events; … recommend events in your area?; NA; Recommending local events
acceptability_service; Personalised_contacts; … recommend someone you might want to follow or add as a friend on social media?; NA; Recommending people on social media
