dem.age,dem.city_or_rural,dem.country_code,dem.education_level,dem.gender,meta.uuid,meta.weight,question.terms_familiarity.Artificial intelligence,question.terms_familiarity.Computer algorithms,question.terms_familiarity.Machine learning,question.terms_familiarity.Recommender systems,question.terms_familiarity.Targeted / personalised advertising,question.terms_familiarity.None of the above,question.used_applications.Facebook,question.used_applications.Twitter,question.used_applications.Instagram,question.used_applications.Google account,question.used_applications.Amazon,question.used_applications.eBay,question.used_applications.None of the above,question.use_ai.Advertising on social media,question.use_ai.Curation of news feeds on social media,question.use_ai.Recommendations in webshops,question.use_ai.Recommendations on video streaming sites,question.use_ai.Ranking of results on search engines,"question.use_ai.Answers given by smart assistants (e.g., Siri, Alexa, ...)",question.use_ai.Suggestions of potential partners on dating platforms,question.use_ai.Content of Wikipedia articles,question.use_ai.Websites of local restaurants,question.use_ai.None of the above,question.criteria_social_media.Time of posting,question.criteria_social_media.Number of likes the post received so far,question.criteria_social_media.Number of common friends you share with post’s author,question.criteria_social_media.Topics and content you have previously shown an interest in,question.criteria_social_media.Recent increase in the number of likes on the post,question.criteria_social_media.Number of clicks on the post,question.criteria_social_media.Geographic proximity between you and the post’s author,question.criteria_social_media.The way you scroll and type,question.commercials,question.political_campaigns,question.personalised_events,question.Personalised_contacts,question.Personalised_Locations,question.Personalised_Entertainment_Recommendations,question.Customised_Posts_Social_Media,question.Customised_Search_Results,question.Customised_Newspapers,question.age,question.Gender,question.ethnicity,question.Relationship_Status,question.Sexual_orientation,question.Religion,question.Politics,question.household_income,question.Personality,question.personal_events,question.Personal_Tragedies,question.search_history,question.Purchasing_History,question.Location_History,question.Watched_Videos,question.typing_behaviour,question.online_interaction,question.email_messages_content,question.likes_shares,question.concern_privacy,question.adjustment_online_data.“My activity” or “Activity controls” page on your Google account,question.adjustment_online_data.“Privacy and personalization” page on your Google account,question.adjustment_online_data.“Privacy settings” page on Facebook,question.adjustment_online_data.“Manage your Ad preferences” page on Facebook,question.adjustment_online_data.Privacy and/or personalization preferences on Amazon,question.adjustment_online_data.Privacy settings in your preferred browser,question.adjustment_online_data.None of the above,"question.privacy_tools.Software that protects you from seeing online advertising (e.g., Ad Blockers in your browser)",question.privacy_tools.Incognito mode in your browser,"question.privacy_tools.Software that prevents the monitoring of your online activities (e.g., Tor Browser, VPN)","question.privacy_tools.Search engines that protect your privacy (e.g., DuckDuckGo)","question.privacy_tools.Deliberately avoiding certain websites and platforms (e.g., Google, Facebook, ...)",question.privacy_tools.Adjusting privacy and ad settings on online platforms,question.privacy_tools.None of the above,question.political_spectrum,question.comments
26,rural,US,low,female,01c627af8adc5b413c2a9693d3bb4790462ca74b,0.870820415374871,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Not very acceptable,Not very acceptable,Very acceptable,Not acceptable at all,Very acceptable,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Very acceptable,Very acceptable,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not very acceptable,Somewhat acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very concerned,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1 (left-wing),NA
30,city,US,low,female,71cd02cc1bd9cad4fe152dc014637f3019072202,0.870820415374871,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Very acceptable,Not concerned at all,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,4 (center),NA
31,rural,US,low,female,1746e92d0a130741fe7c1b96b37917ec3b7cbfd3,0.870820415374871,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Not very acceptable,Not very acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Very acceptable,Somewhat acceptable,Very acceptable,Very acceptable,Not very acceptable,Not very acceptable,Not acceptable at all,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Not acceptable at all,Not acceptable at all,Somewhat acceptable,Not acceptable at all,Not acceptable at all,Not very acceptable,Not acceptable at all,Not acceptable at all,Somewhat concerned,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4 (center),NA
33,city,US,low,female,32e6436d586ecf3c2bdd2db4eb709705a7af1768,0.870820415374871,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Not very acceptable,Not acceptable at all,Somewhat acceptable,Somewhat acceptable,Very acceptable,Very acceptable,Very acceptable,Not very acceptable,Not acceptable at all,Somewhat acceptable,Very acceptable,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not very acceptable,Not very acceptable,Not acceptable at all,Very acceptable,Not very acceptable,Not acceptable at all,Not acceptable at all,Somewhat acceptable,Very acceptable,Somewhat acceptable,Very acceptable,Somewhat acceptable,Not acceptable at all,Very acceptable,Very concerned,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4 (center),NA
37,city,US,no,female,18aa8a3bbc6d7c38fa562671fd155297201198bf,0.870820415374871,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Not very acceptable,Not very acceptable,Not very acceptable,Not very acceptable,Not acceptable at all,Not very acceptable,Not acceptable at all,Not acceptable at all,Not very acceptable,Not very acceptable,Somewhat acceptable,Not very acceptable,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not very acceptable,Very concerned,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,4 (center),NA
26,city,US,no,female,d96a8f3d3ef76525317139e7c5eaae4457d9dd8c,0.870820415374871,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Very concerned,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4 (center),NA
35,rural,US,low,female,5ec75231afda84c589beced768a9fcdf9fdc7921,0.870820415374871,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not very acceptable,Somewhat acceptable,Not very acceptable,Somewhat acceptable,Somewhat acceptable,Very acceptable,Somewhat acceptable,Not acceptable at all,Somewhat acceptable,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not very concerned,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1 (left-wing),NA
27,city,US,no,female,9964a0478528539af1a8c17ed608f90932ccf951,0.870820415374871,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Not acceptable at all,Very acceptable,Very acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Not acceptable at all,Somewhat acceptable,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Very concerned,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4 (center),NA
31,city,US,no,female,3c041aa2c0aecc77f647f92f4acc5da2bc1d875b,0.870820415374871,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Somewhat acceptable,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Not acceptable at all,Very concerned,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4 (center),NA
24,city,US,high,female,b65c94bfe4ccfa3524fc1f65feee30e5642d3757,0.966434143414341,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Somewhat acceptable,Not very acceptable,Not very acceptable,Not very acceptable,Not very acceptable,Somewhat acceptable,Not very acceptable,Not very acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Not very acceptable,Not very acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Not acceptable at all,Somewhat acceptable,Somewhat concerned,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4 (center),NA
